ID,Sec,Date,Time,Barometric_Preasure,Humidity,Solar_Radiation,Temperature,Wind_Direction,Wind_Speed
125,1475277621,30.9.2016,13:20:21,30.44,52,1004.16,61,329.98,4.5
126,1475277326,30.9.2016,13:15:26,30.44,55,983.67,61,32.85,5.62
127,1475277023,30.9.2016,13:10:23,30.45,58,953.01,61,17.28,6.75
128,1475276720,30.9.2016,13:05:20,30.45,58,1009.98,60,91.94,10.12
129,1475276419,30.9.2016,13:00:19,30.45,54,1012.23,61,348.3,7.87
130,1475276129,30.9.2016,12:55:29,30.45,56,972.14,60,26.84,7.87
131,1475275820,30.9.2016,12:50:20,30.45,54,1041.97,60,76.02,12.37
132,1475275523,30.9.2016,12:45:23,30.45,57,1040.74,60,24.32,11.25
133,1475275219,30.9.2016,12:40:19,30.45,56,1014.25,60,57.21,9
134,1475274920,30.9.2016,12:35:20,30.45,57,1057.74,60,42.01,15.75
135,1475274626,30.9.2016,12:30:26,30.46,62,1021.58,60,247.26,6.75
136,1475274322,30.9.2016,12:25:22,30.45,61,1047.09,60,100.4,11.25
137,1475274018,30.9.2016,12:20:18,30.46,61,1043.59,61,15.96,7.87
138,1475273724,30.9.2016,12:15:24,30.46,61,1046.08,60,25.82,10.12
139,1475273420,30.9.2016,12:10:20,30.46,65,1038.94,60,12.6,10.12
140,1475273118,30.9.2016,12:05:18,30.46,60,1046.76,60,10.51,4.5
141,1475272821,30.9.2016,12:00:21,30.46,62,1051.03,60,29.54,14.62
142,1475272520,30.9.2016,11:55:20,30.47,61,1044.4,60,37.95,7.87
143,1475272227,30.9.2016,11:50:27,30.47,57,1037.94,60,64.16,7.87
144,1475271922,30.9.2016,11:45:22,30.47,58,1036.31,60,66.44,11.25
145,1475271620,30.9.2016,11:40:20,30.47,52,1030.88,61,66.69,7.87
146,1475271320,30.9.2016,11:35:20,30.47,51,1029.94,61,12.81,14.62
147,1475270719,30.9.2016,11:25:19,30.47,54,1021.56,61,25.53,7.87
148,1475270422,30.9.2016,11:20:22,30.47,54,1017.38,61,43.4,7.87
149,1475270118,30.9.2016,11:15:18,30.47,44,1012.12,61,3.23,10.12
150,1475269821,30.9.2016,11:10:21,30.47,49,1002.96,61,29.36,13.5
151,1475269523,30.9.2016,11:05:23,30.48,48,996.71,61,22.92,11.25
152,1475269222,30.9.2016,11:00:22,30.48,51,986.72,62,45.72,11.25
153,1475268924,30.9.2016,10:55:24,30.48,42,980.18,62,28.73,14.62
154,1475268624,30.9.2016,10:50:24,30.48,35,975.8,63,1.46,11.25
155,1475268319,30.9.2016,10:45:19,30.47,36,966.16,62,74.86,6.75
156,1475268022,30.9.2016,10:40:22,30.48,33,955.75,63,87.58,9
157,1475267729,30.9.2016,10:35:29,30.48,32,944.66,62,17.31,7.87
158,1475267423,30.9.2016,10:30:23,30.48,33,931.73,63,67.61,7.87
159,1475267124,30.9.2016,10:25:24,30.48,32,925.77,62,307,1.12
160,1475266819,30.9.2016,10:20:19,30.48,40,911.52,62,45.9,5.62
161,1475266520,30.9.2016,10:15:20,30.48,38,904.3,62,74.73,9
162,1475266219,30.9.2016,10:10:19,30.48,35,890.63,62,28.22,9
163,1475265925,30.9.2016,10:05:25,30.48,41,879.43,61,77.79,5.62
164,1475265623,30.9.2016,10:00:23,30.48,49,859.37,61,0.13,6.75
165,1475265321,30.9.2016,9:55:21,30.48,55,852.51,60,61.89,3.37
166,1475265028,30.9.2016,9:50:28,30.48,63,829.24,61,26.07,11.25
167,1475264726,30.9.2016,9:45:26,30.48,51,820.27,62,61.46,13.5
168,1475264423,30.9.2016,9:40:23,30.48,35,809.17,62,336.47,5.62
169,1475264122,30.9.2016,9:35:22,30.47,42,796.19,61,349.82,6.75
170,1475263821,30.9.2016,9:30:21,30.48,45,778.76,61,27.13,4.5
171,1475263543,30.9.2016,9:25:43,30.47,48,768.55,60,43.66,6.75
172,1475263222,30.9.2016,9:20:22,30.47,54,666.99,60,20.62,4.5
173,1475262924,30.9.2016,9:15:24,30.47,57,736.65,59,15.65,3.37
174,1475262624,30.9.2016,9:10:24,30.47,57,719.47,59,0.16,3.37
175,1475262324,30.9.2016,9:05:24,30.47,60,699.87,58,12.94,4.5
176,1475262022,30.9.2016,9:00:22,30.47,67,682.68,58,54.21,5.62
177,1475261723,30.9.2016,8:55:23,30.47,68,657.82,58,21.78,4.5
178,1475261425,30.9.2016,8:50:25,30.47,66,644.33,59,46.88,7.87
179,1475261122,30.9.2016,8:45:22,30.47,60,623.85,58,121.72,2.25
180,1475260821,30.9.2016,8:40:21,30.47,65,600.25,57,114.8,5.62
181,1475260524,30.9.2016,8:35:24,30.47,68,585.4,57,71.41,3.37
182,1475260221,30.9.2016,8:30:21,30.47,71,565.62,56,82.54,9
183,1475259921,30.9.2016,8:25:21,30.47,73,512.76,56,95.92,5.62
184,1475259622,30.9.2016,8:20:22,30.47,66,525.48,56,81.73,1.12
185,1475259322,30.9.2016,8:15:22,30.47,65,502.19,55,51.2,5.62
186,1475259023,30.9.2016,8:10:23,30.47,68,461.66,55,79.05,2.25
187,1475258720,30.9.2016,8:05:20,30.46,59,461.63,54,113.48,1.12
188,1475258421,30.9.2016,8:00:21,30.46,64,439.99,54,102.02,4.5
189,1475258140,30.9.2016,7:55:40,30.46,64,391.13,53,123.39,9
190,1475257820,30.9.2016,7:50:20,30.46,75,391.64,53,112.39,5.62
191,1475257520,30.9.2016,7:45:20,30.46,57,373.28,53,141.08,4.5
192,1475257222,30.9.2016,7:40:22,30.46,50,357.71,53,120.42,5.62
193,1475256920,30.9.2016,7:35:20,30.46,51,339.3,52,97.13,2.25
194,1475256623,30.9.2016,7:30:23,30.46,39,313.53,51,161.37,4.5
195,1475256324,30.9.2016,7:25:24,30.46,42,272.45,50,117.74,3.37
196,1475256022,30.9.2016,7:20:22,30.46,43,263.02,49,125.16,5.62
197,1475255725,30.9.2016,7:15:25,30.46,41,212.79,48,89.99,2.25
198,1475255423,30.9.2016,7:10:23,30.46,42,96.06,48,120.7,4.5
199,1475255126,30.9.2016,7:05:26,30.46,38,32.01,47,97.51,5.62
200,1475254824,30.9.2016,7:00:24,30.45,36,28.89,46,166.14,1.12
201,1475254523,30.9.2016,6:55:23,30.45,36,27.11,46,177.23,4.5
202,1475254220,30.9.2016,6:50:20,30.45,35,26.42,46,163.01,4.5
203,1475253921,30.9.2016,6:45:21,30.45,36,24.9,45,142.77,3.37
204,1475253623,30.9.2016,6:40:23,30.45,36,22.56,45,160.36,6.75
205,1475253322,30.9.2016,6:35:22,30.45,35,19.61,45,172.18,4.5
206,1475253021,30.9.2016,6:30:21,30.45,34,16.44,45,176.46,5.62
207,1475252722,30.9.2016,6:25:22,30.45,34,13.08,45,158.21,7.87
208,1475252423,30.9.2016,6:20:23,30.45,34,9.7,45,203.65,7.87
209,1475252124,30.9.2016,6:15:24,30.44,34,6.12,45,157.04,6.75
210,1475251820,30.9.2016,6:10:20,30.44,34,4.63,45,176.79,5.62
211,1475251522,30.9.2016,6:05:22,30.44,35,2.97,45,177.44,6.75
212,1475251221,30.9.2016,6:00:21,30.44,34,1.24,45,156.33,5.62
213,1475250924,30.9.2016,5:55:24,30.44,35,1.19,45,172.55,6.75
214,1475250620,30.9.2016,5:50:20,30.43,35,1.19,45,173.57,5.62
215,1475250323,30.9.2016,5:45:23,30.43,36,1.2,45,170.35,5.62
216,1475250027,30.9.2016,5:40:27,30.43,36,1.19,45,178.84,5.62
217,1475249719,30.9.2016,5:35:19,30.43,36,1.2,45,170.13,5.62
218,1475249423,30.9.2016,5:30:23,30.43,36,1.22,45,181.38,6.75
219,1475249124,30.9.2016,5:25:24,30.43,35,1.2,45,165.23,6.75
220,1475248823,30.9.2016,5:20:23,30.43,36,1.22,45,183.85,5.62
221,1475248520,30.9.2016,5:15:20,30.43,35,1.22,45,149.04,5.62
222,1475248218,30.9.2016,5:10:18,30.43,35,1.16,45,163.8,5.62
223,1475247919,30.9.2016,5:05:19,30.43,35,1.19,45,155.12,6.75
224,1475247623,30.9.2016,5:00:23,30.43,35,1.23,45,165.66,5.62
225,1475247321,30.9.2016,4:55:21,30.43,35,1.19,45,196.05,6.75
226,1475247020,30.9.2016,4:50:20,30.42,36,1.22,45,163.13,6.75
227,1475246720,30.9.2016,4:45:20,30.43,36,1.21,45,169.62,6.75
228,1475246418,30.9.2016,4:40:18,30.42,35,1.2,45,172.94,7.87
229,1475246123,30.9.2016,4:35:23,30.42,35,1.23,45,151.3,7.87
230,1475245819,30.9.2016,4:30:19,30.43,35,1.2,46,158.94,6.75
231,1475245222,30.9.2016,4:20:22,30.42,33,1.18,46,156.98,6.75
232,1475244922,30.9.2016,4:15:22,30.42,33,1.2,46,156.64,5.62
233,1475244624,30.9.2016,4:10:24,30.42,32,1.23,46,154.49,6.75
234,1475244319,30.9.2016,4:05:19,30.42,33,1.2,46,179.34,5.62
235,1475244022,30.9.2016,4:00:22,30.42,33,1.21,46,176.76,4.5
236,1475243723,30.9.2016,3:55:23,30.42,34,1.21,46,171.9,5.62
237,1475243421,30.9.2016,3:50:21,30.42,34,1.2,46,162.17,7.87
238,1475243119,30.9.2016,3:45:19,30.42,34,1.19,46,163.11,5.62
239,1475242818,30.9.2016,3:40:18,30.42,34,1.2,46,170.95,5.62
240,1475242524,30.9.2016,3:35:24,30.42,33,1.22,46,163.76,5.62
241,1475242222,30.9.2016,3:30:22,30.42,34,1.22,47,165.12,4.5
242,1475241919,30.9.2016,3:25:19,30.42,33,1.19,47,164.59,5.62
243,1475241626,30.9.2016,3:20:26,30.42,32,1.2,46,119.02,3.37
244,1475241319,30.9.2016,3:15:19,30.42,33,1.21,46,167.67,4.5
245,1475241020,30.9.2016,3:10:20,30.42,34,1.22,46,159.39,3.37
246,1475240721,30.9.2016,3:05:21,30.42,34,1.23,46,155.24,4.5
247,1475240423,30.9.2016,3:00:23,30.42,34,1.24,46,165.86,5.62
248,1475240124,30.9.2016,2:55:24,30.42,34,1.18,46,155.66,6.75
249,1475239822,30.9.2016,2:50:22,30.42,36,1.19,46,167.42,6.75
250,1475239520,30.9.2016,2:45:20,30.42,38,1.18,46,162.37,6.75
251,1475239222,30.9.2016,2:40:22,30.42,36,1.2,46,161.63,4.5
252,1475238925,30.9.2016,2:35:25,30.42,37,1.21,46,173.6,6.75
253,1475238634,30.9.2016,2:30:34,30.42,38,1.21,46,166.46,5.62
254,1475238321,30.9.2016,2:25:21,30.43,36,1.23,46,167.69,5.62
255,1475238019,30.9.2016,2:20:19,30.43,34,1.23,47,159,6.75
256,1475237721,30.9.2016,2:15:21,30.43,35,1.21,47,178.01,5.62
257,1475237426,30.9.2016,2:10:26,30.43,34,1.21,47,155.31,5.62
258,1475236823,30.9.2016,2:00:23,30.43,35,1.21,47,183.45,7.87
259,1475236525,30.9.2016,1:55:25,30.43,35,1.23,47,186.45,9
260,1475236225,30.9.2016,1:50:25,30.43,36,1.21,47,193.23,9
261,1475235925,30.9.2016,1:45:25,30.43,36,1.19,47,182.88,9
262,1475235621,30.9.2016,1:40:21,30.43,37,1.23,47,182.56,11.25
263,1475235331,30.9.2016,1:35:31,30.43,37,1.22,47,184.63,10.12
264,1475235022,30.9.2016,1:30:22,30.43,37,1.22,47,182.22,10.12
265,1475234722,30.9.2016,1:25:22,30.43,37,1.21,47,185.62,6.75
266,1475234421,30.9.2016,1:20:21,30.43,36,1.21,47,187.64,10.12
267,1475234121,30.9.2016,1:15:21,30.43,36,1.24,47,187.26,11.25
268,1475233822,30.9.2016,1:10:22,30.44,37,1.2,46,179.72,9
269,1475233521,30.9.2016,1:05:21,30.44,38,1.2,46,182.41,5.62
270,1475233222,30.9.2016,1:00:22,30.44,40,1.22,46,184.47,7.87
271,1475232920,30.9.2016,0:55:20,30.44,42,1.19,47,193.76,7.87
272,1475232622,30.9.2016,0:50:22,30.44,39,1.22,47,180.46,4.5
273,1475232322,30.9.2016,0:45:22,30.44,42,1.22,47,177.78,5.62
274,1475232025,30.9.2016,0:40:25,30.44,44,1.2,47,156.18,6.75
275,1475231723,30.9.2016,0:35:23,30.45,46,1.21,47,147.31,4.5
276,1475231423,30.9.2016,0:30:23,30.45,50,1.23,47,161.37,5.62
277,1475231119,30.9.2016,0:25:19,30.45,53,1.22,48,178.59,6.75
278,1475229922,30.9.2016,0:05:22,30.45,64,1.2,48,162.31,4.5
279,1475229622,30.9.2016,0:00:22,30.46,62,1.24,48,154.54,3.37
280,1475229326,29.9.2016,23:55:26,30.46,59,1.21,48,177.39,5.62
281,1475229023,29.9.2016,23:50:23,30.46,58,1.21,48,176.78,3.37
282,1475228726,29.9.2016,23:45:26,30.46,57,1.23,48,158.75,3.37
283,1475228421,29.9.2016,23:40:21,30.46,60,1.21,48,137.71,3.37
284,1475228124,29.9.2016,23:35:24,30.46,62,1.17,48,104.95,5.62
285,1475227824,29.9.2016,23:30:24,30.46,64,1.21,48,120.2,5.62
286,1475227519,29.9.2016,23:25:19,30.46,72,1.2,49,112.45,6.75
287,1475227222,29.9.2016,23:20:22,30.46,71,1.24,49,122.97,5.62
288,1475226922,29.9.2016,23:15:22,30.46,80,1.23,49,101.18,4.5
289,1475226622,29.9.2016,23:10:22,30.46,85,1.21,49,141.87,4.5
290,1475226323,29.9.2016,23:05:23,30.47,93,1.23,49,120.55,2.25
291,1475226025,29.9.2016,23:00:25,30.47,98,1.21,49,144.19,3.37
292,1475225720,29.9.2016,22:55:20,30.47,99,1.22,49,139.8,6.75
293,1475225419,29.9.2016,22:50:19,30.47,99,1.21,50,140.92,2.25
294,1475225131,29.9.2016,22:45:31,30.47,99,1.23,50,147.61,5.62
295,1475224823,29.9.2016,22:40:23,30.47,99,1.22,50,113.78,4.5
296,1475224519,29.9.2016,22:35:19,30.47,99,1.21,50,123.03,10.12
297,1475224222,29.9.2016,22:30:22,30.47,99,1.22,50,173.73,6.75
298,1475223919,29.9.2016,22:25:19,30.47,98,1.22,50,91.43,6.75
299,1475223622,29.9.2016,22:20:22,30.47,98,1.2,50,109.74,6.75
300,1475223322,29.9.2016,22:15:22,30.47,98,1.2,50,143.53,2.25
301,1475223021,29.9.2016,22:10:21,30.47,97,1.2,50,146.76,5.62
302,1475222720,29.9.2016,22:05:20,30.47,97,1.21,50,158.35,4.5
303,1475222426,29.9.2016,22:00:26,30.47,97,1.22,50,166.05,5.62
304,1475222120,29.9.2016,21:55:20,30.47,96,1.22,50,151.82,5.62
305,1475221832,29.9.2016,21:50:32,30.47,96,1.22,50,152.52,6.75
306,1475221528,29.9.2016,21:45:28,30.47,95,1.24,50,127.82,7.87
307,1475221220,29.9.2016,21:40:20,30.47,95,1.23,50,157.58,6.75
308,1475220921,29.9.2016,21:35:21,30.47,95,1.23,50,172.96,7.87
309,1475220621,29.9.2016,21:30:21,30.47,95,1.23,50,143.82,6.75
310,1475220322,29.9.2016,21:25:22,30.47,94,1.24,50,154.03,5.62
311,1475220021,29.9.2016,21:20:21,30.47,93,1.2,50,165.93,4.5
312,1475219723,29.9.2016,21:15:23,30.47,93,1.24,50,139.82,7.87
313,1475219420,29.9.2016,21:10:20,30.47,93,1.21,49,166.07,9
314,1475219126,29.9.2016,21:05:26,30.47,93,1.24,50,116.16,5.62
315,1475218820,29.9.2016,21:00:20,30.47,92,1.2,50,157.48,4.5
316,1475218518,29.9.2016,20:55:18,30.47,91,1.19,50,112.27,7.87
317,1475218220,29.9.2016,20:50:20,30.47,90,1.25,50,133.69,6.75
318,1475217924,29.9.2016,20:45:24,30.47,88,1.25,50,140.64,6.75
319,1475217619,29.9.2016,20:40:19,30.47,87,1.23,50,52.89,1.12
320,1475217319,29.9.2016,20:35:19,30.47,86,1.21,50,132.66,4.5
321,1475217018,29.9.2016,20:30:18,30.46,85,1.25,50,138.35,5.62
322,1475216720,29.9.2016,20:25:20,30.46,84,1.23,50,109.87,3.37
323,1475216423,29.9.2016,20:20:23,30.47,81,1.23,50,123.25,3.37
324,1475216120,29.9.2016,20:15:20,30.46,75,1.26,50,158.64,4.5
325,1475215822,29.9.2016,20:10:22,30.46,70,1.17,50,165.22,5.62
326,1475215522,29.9.2016,20:05:22,30.46,63,1.22,50,160.51,3.37
327,1475215218,29.9.2016,20:00:18,30.46,51,1.22,50,155.36,4.5
328,1475214923,29.9.2016,19:55:23,30.46,47,1.22,50,157.78,6.75
329,1475214622,29.9.2016,19:50:22,30.46,46,1.24,50,151.6,3.37
330,1475214325,29.9.2016,19:45:25,30.46,47,1.25,50,105.78,4.5
331,1475214022,29.9.2016,19:40:22,30.46,48,1.19,50,135.55,4.5
332,1475213722,29.9.2016,19:35:22,30.46,56,1.19,50,140.92,4.5
333,1475213420,29.9.2016,19:30:20,30.46,57,1.23,50,165,4.5
334,1475213121,29.9.2016,19:25:21,30.46,55,1.19,51,126.63,3.37
335,1475212820,29.9.2016,19:20:20,30.46,54,1.23,51,119.97,4.5
336,1475212522,29.9.2016,19:15:22,30.45,53,1.22,51,95.57,2.25
337,1475212224,29.9.2016,19:10:24,30.45,51,1.24,51,100.02,4.5
338,1475211920,29.9.2016,19:05:20,30.45,51,1.24,51,111.73,2.25
339,1475211624,29.9.2016,19:00:24,30.45,52,1.23,51,145.77,5.62
340,1475211319,29.9.2016,18:55:19,30.45,51,1.23,51,105.89,6.75
341,1475211024,29.9.2016,18:50:24,30.45,52,1.24,51,120.86,5.62
342,1475210719,29.9.2016,18:45:19,30.44,55,1.23,51,170.11,5.62
343,1475210421,29.9.2016,18:40:21,30.44,55,1.21,52,107.15,5.62
344,1475210121,29.9.2016,18:35:21,30.44,55,1.24,52,129.29,6.75
345,1475209823,29.9.2016,18:30:23,30.45,59,1.18,52,158.73,3.37
346,1475209519,29.9.2016,18:25:19,30.44,59,1.52,52,211.38,2.25
347,1475209223,29.9.2016,18:20:23,30.44,61,5.07,53,174.97,4.5
